id,text,rating,sentiment,date,product,user_id,user_name,phone
0,"Нормально, но есть и лучше варианты на рынке.",3,,2026-04-01,Ноутбук Lenovo IdeaPad 3,28,Лебедев Михаил,+79435997895
1,"Прекрасная покупка, всё как заявлено. Качество отменное.",5,1.0,2026-05-05,Мышь Logitech G502,13,Фёдоров Ирина,+79886743066
2,"Так себе. Ожидал лучшего, но и хуже бывает.",3,,2026-05-07,Наушники Sony WH-1000XM5,21,Соколов Светлана,+79206499720
3,"Кошмар, а не товар. Выброшенные деньги, жалею о покупке.",2,0.0,2026-04-23,Умные часы Xiaomi Mi Band 8,12,Кузнецов Павел,+79756664789
4,"Прекрасная покупка, всё как заявлено. Качество отменное.",5,1.0,2026-04-07,Ноутбук Lenovo IdeaPad 3,22,Морозов Дмитрий,+79387640913
5,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",4,1.0,2026-04-05,Наушники Sony WH-1000XM5,20,Козлов Мария,+79503663046
6,Превосходно! Давно искал такой товар по хорошей цене.,4,1.0,2026-03-24,Умные часы Xiaomi Mi Band 8,18,Зайцев Андрей,+79509242680
7,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-04-27,Колонка JBL Flip 6,6,Кузнецов Дмитрий,+79235523669
8,"Возвращаю товар. Качество ужасное, заявленным не соответствует.",2,0.0,2026-03-15,Клавиатура HyperX Alloy,9,Борисов Светлана,+79297019877
9,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-04-20,Телевизор LG OLED55C3,8,Лебедев Павел,+79872766891
10,"Отличная покупка. Работает без нареканий, качество достойное.",4,1.0,2026-04-23,Смартфон Samsung Galaxy A54,27,Соколов Ирина,+79835056518
11,"Рекомендую всем! Быстрая доставка, упаковка целая, товар соответствует описанию.",4,1.0,2026-04-17,Телевизор LG OLED55C3,8,Лебедев Павел,+79872766891
12,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-03-12,Ноутбук Lenovo IdeaPad 3,13,Фёдоров Ирина,+79886743066
13,"Покупкой очень доволен. Качество хорошее, доставка быстрая.",4,1.0,2026-03-27,Телевизор LG OLED55C3,7,Иванов Михаил,+79525981505
14,"Возвращаю товар. Качество ужасное, заявленным не соответствует.",2,0.0,2026-04-26,Мышь Logitech G502,7,Иванов Михаил,+79525981505
